latitude,longitude,datetime,value
24.543981,118.142934,26-Sep-2016 20:00:00,20.741398
24.543981,118.142934,27-Sep-2016 10:00:00,26.221366
24.543981,118.142934,27-Sep-2016 10:30:00,7.985064
24.543981,118.142934,30-Sep-2016 18:30:00,7.233253
24.543981,118.142934,30-Sep-2016 19:00:00,0.039640
24.543981,118.143918,26-Sep-2016 19:30:00,11.363572
24.543981,118.143918,27-Sep-2016 10:00:00,1.470840
24.543981,118.146868,20-Sep-2016 23:30:00,12.630520
24.543981,118.146868,21-Sep-2016,8.126990
24.543981,118.146868,22-Sep-2016 23:30:00,6.080454
24.543981,118.146868,25-Sep-2016,4.000405
24.543981,118.150802,16-Sep-2016 10:30:00,4.633920
24.543981,118.150802,18-Sep-2016 20:30:00,4.492866
24.543084,118.111461,16-Sep-2016 13:00:00,0.480177
24.543084,118.111461,17-Sep-2016 23:00:00,2.979664
24.543084,118.111461,21-Sep-2016 08:00:00,1.598679
24.543084,118.111461,30-Sep-2016 23:00:00,1.830328
24.543084,118.111461,30-Sep-2016 23:30:00,1.327877
24.543084,118.143918,20-Sep-2016 12:00:00,26.046216
24.543084,118.143918,22-Sep-2016 19:30:00,20.891477
24.543084,118.143918,23-Sep-2016 17:00:00,22.681993
24.543084,118.143918,23-Sep-2016 17:30:00,9.423000
24.543084,118.143918,26-Sep-2016 18:00:00,30.940637
24.543084,118.143918,26-Sep-2016 18:30:00,16.409530
24.543084,118.143918,26-Sep-2016 19:30:00,27.754584
24.543084,118.143918,27-Sep-2016 09:30:00,25.768834
24.543084,118.143918,27-Sep-2016 10:00:00,10.035395
24.543084,118.143918,30-Sep-2016 17:30:00,9.912951
24.543084,118.143918,30-Sep-2016 18:00:00,15.085334
24.543084,118.149819,20-Sep-2016 15:00:00,4.464991
24.543084,118.149819,20-Sep-2016 16:30:00,4.041727
24.543084,118.149819,22-Sep-2016 10:00:00,2.549205
24.543084,118.149819,22-Sep-2016 15:30:00,3.643582
24.542186,118.112445,01-Sep-2016 06:30:00,1.413928
24.542186,118.112445,14-Sep-2016 06:30:00,8.801543
24.542186,118.143918,20-Sep-2016 12:00:00,22.442914
24.542186,118.143918,20-Sep-2016 17:30:00,1.601285
24.542186,118.143918,22-Sep-2016 18:00:00,1.546964
24.542186,118.143918,27-Sep-2016 10:00:00,6.012903
24.542186,118.144901,20-Sep-2016 11:00:00,10.282666
24.542186,118.144901,20-Sep-2016 12:30:00,11.440995
24.542186,118.144901,20-Sep-2016 17:00:00,6.071038
24.542186,118.144901,22-Sep-2016 09:30:00,1.727831
24.542186,118.144901,27-Sep-2016 09:30:00,8.955400
24.542186,118.148835,20-Sep-2016 16:00:00,3.962865
24.542186,118.148835,22-Sep-2016 14:30:00,1.020126
24.542186,118.152770,18-Sep-2016 09:00:00,1.939117
24.541288,118.112445,01-Sep-2016 06:30:00,4.202448
24.541288,118.144901,20-Sep-2016 12:30:00,18.893882
24.541288,118.144901,22-Sep-2016 09:00:00,0.513066
24.541288,118.144901,23-Sep-2016 10:00:00,4.647597
24.541288,118.144901,26-Sep-2016 09:00:00,5.324132
24.541288,118.146868,16-Sep-2016 20:00:00,3.833160
24.541288,118.146868,22-Sep-2016 11:00:00,1.466545
24.541288,118.147852,16-Sep-2016 19:30:00,0.249821
24.541288,118.147852,17-Sep-2016 10:30:00,2.652686
24.541288,118.147852,17-Sep-2016 14:30:00,0.892080
24.541288,118.147852,22-Sep-2016 11:30:00,4.072335
24.541288,118.153753,25-Sep-2016 18:00:00,3.673149
24.541288,118.153753,26-Sep-2016 10:00:00,0.933178
24.540391,118.143918,14-Sep-2016 09:30:00,0.872294
24.540391,118.143918,19-Sep-2016 17:00:00,2.505889
24.540391,118.143918,19-Sep-2016 18:30:00,6.742224
24.540391,118.143918,20-Sep-2016 09:00:00,9.240068
24.540391,118.143918,25-Sep-2016 19:00:00,2.231223
24.540391,118.143918,29-Sep-2016 10:00:00,1.179864
24.540391,118.144901,26-Sep-2016 06:00:00,1.506333
24.540391,118.146868,22-Sep-2016 10:30:00,3.545696
24.540391,118.154737,16-Sep-2016 10:30:00,2.900009
24.540391,118.176374,07-Sep-2016 12:30:00,5.198739
24.540391,118.176374,24-Sep-2016 12:30:00,0.254581
24.540391,118.176374,25-Sep-2016 13:00:00,2.896329
24.539493,118.112445,17-Sep-2016 23:00:00,13.631319
24.539493,118.113428,01-Sep-2016 06:30:00,13.776090
24.539493,118.113428,15-Sep-2016 10:00:00,0.860183
24.539493,118.113428,30-Sep-2016 23:00:00,2.942525
24.539493,118.129165,08-Sep-2016 20:00:00,2.084847
24.539493,118.131132,02-Sep-2016,1.057383
24.539493,118.131132,05-Sep-2016 23:30:00,8.063683
24.539493,118.131132,07-Sep-2016,22.000702
24.539493,118.131132,08-Sep-2016,3.741756
24.539493,118.131132,12-Sep-2016 23:30:00,22.259048
24.539493,118.131132,20-Sep-2016,2.728747
24.539493,118.131132,21-Sep-2016,0.671104
24.539493,118.131132,22-Sep-2016 23:00:00,0.068408
24.539493,118.131132,25-Sep-2016,5.017802
24.539493,118.141951,19-Sep-2016 16:30:00,3.032634
24.539493,118.141951,19-Sep-2016 17:00:00,8.695902
24.539493,118.141951,19-Sep-2016 18:30:00,12.461106
24.539493,118.142934,18-Sep-2016 18:30:00,3.203854
24.539493,118.142934,19-Sep-2016 17:00:00,17.976489
24.539493,118.142934,19-Sep-2016 17:30:00,4.866131
24.539493,118.142934,19-Sep-2016 18:30:00,5.730370
24.539493,118.142934,20-Sep-2016 08:00:00,4.303867
24.539493,118.142934,20-Sep-2016 19:00:00,14.906789
24.539493,118.142934,27-Sep-2016 09:00:00,0.783180
24.539493,118.143918,14-Sep-2016 09:30:00,0.627210
24.539493,118.145885,05-Sep-2016 10:30:00,0.447544
24.539493,118.146868,26-Sep-2016 17:00:00,2.709595
24.539493,118.177358,08-Sep-2016 15:00:00,0.333268
24.538595,118.132115,06-Sep-2016,9.478405
24.538595,118.132115,06-Sep-2016 23:30:00,5.778254
24.538595,118.132115,07-Sep-2016 00:30:00,4.461869
24.538595,118.132115,07-Sep-2016 23:30:00,0.520876
24.538595,118.132115,12-Sep-2016 23:30:00,5.476359
